name,market_capitalization_usd,stock,country,sector,industry
apple inc,2825000000000,aapl,united states,technology,consumer electronics
microsoft corporation,2328000000000,msft,united states,technology,softwareinfrastructure
saudi arabian oil company,2297000000000,2222,saudi arabia,energy,oil & gas integrated
alphabet inc,1825000000000,goog,united states,communication services,internet content & information
amazoncom inc,1642000000000,amzn,united states,consumer discretionary,internet retail
tesla inc,1016000000000,tsla,united states,consumer discretionary,auto manufacturers
berkshire hathaway inc,798470000000,brk.a,united states,financials,financial conglomerates
nvidia corporation,660380000000,nvda,united states,technology,semiconductors
meta platforinc,617500000000,meta,united states,communication services,internet content & information
taiwan semiconductor manufacturing company limited,527890000000,2330,taiwan,technology,semiconductors
unitedhealth group incorporated,488520000000,unh,united states,healthcare,healthcare plans
visa inc,486770000000,v,united states,financials,credit services
johnson & johnson,475930000000,jnj,united states,healthcare,drug manufacturersgeneral
tencent holdings ltd,441170000000,0700,china,communication services,internet content & information
walmart inc,429050000000,wmt,united states,consumer staples,discount stores
jpmorgan chase & co,410840000000,jpm,united states,financials,banks
the procter & gamble company,384600000000,pg,united states,consumer staples,household & personal products
samsung electronics co ltd,378350000000,005930,south korea,technology,consumer electronics
lvmh moet hennessy - louis vuitton se,359260000000,mc,france,consumer discretionary,luxury goods
mastercard incorporated,358600000000,ma,united states,financials,credit services
bank of america corporation,350840000000,bac,united states,financials,banks
roche holding ag,349500000000,rog,switzerland,healthcare,drug manufacturersgeneral
exxon mobil corporation,348720000000,xom,united states,energy,oil & gas integrated
kweichow moutai co ltd,348220000000,600519,china,consumer staples,beverageswineries & distilleries
the home depot inc,321470000000,hd,united states,consumer discretionary,home improvement retail
chevron corporation,315130000000,cvx,united states,energy,oil & gas integrated
pfizer inc,300790000000,pfe,united states,healthcare,drug manufacturersgeneral
abbvie inc,294270000000,abbv,united states,healthcare,drug manufacturersgeneral
alibaba group holding limited,290400000000,9988,china,consumer discretionary,internet retail
asml holding nv,274350000000,asml,netherlands,technology,semiconductor equipment & materials
the coca-cola company,273200000000,ko,united states,consumer staples,beveragesnon-alcoholic
eli lilly and company,273010000000,lly,united states,healthcare,drug manufacturersgeneral
broadcom inc,265270000000,avgo,united states,technology,semiconductors
