name,country,sector,revenue_2020_eu,revenue_2017_eu,employees_number_2020,employees_number_2017,founding_year
swappie,finland,technology,97611814,507000,218,1,2016
kilo health,lithuania,health,57318766,344428,177,10,2013
oci,uk,financial services,568322073,4325512,32,4,2012
onlyfans,uk,technology,316732986,2652185,800,4,2016
enpal,germany,energy,56109613,486165,365,9,2017
consulting,germany,waste management & recycling,13165586,150908,9,2,2017
thriva,uk,health,18732563,251668,57,12,2015
exotec,france,industrial goods,47597000,706700,200,15,2015
winelivery,italy,ecommerce,7337290,111500,10,1,2015
instabox,sweden,technology,24484879,392055,117,5,2015
waterdrop,austria,food & beverage,41205930,680197,180,12,2016
one lease,france,support services,9015211,153046,11,2,2016
datlas,italy,technology,9034926,155406,251,13,2017
zego,uk,fintech,12158046,229201,224,36,2016
hcl-logistics,germany,transport,11387156,238118,24,5,2017
popsa,uk,technology,21455864,454975,34,4,2016
unit8,switzerland,technology,7234981,149397,41,2,2017
luoto company,finland,technology,14338668,325585,49,6,2016
journi print,austria,ecommerce,6851839,160624,29,9,2014
portify,france,support services,11583215,274575,228,23,2017
tibber,norway,energy,30886935,782918,45,8,2015
rascal industry,poland,fashion,9008822,238451,18,6,2013
pegaso security,italy,support services,8375180,207120,509,20,2017
tide,uk,fintech,16136633,416562,581,72,2016
euro top brand,italy,retail,13888900,363010,1,1,2017
bold security group,uk,support services,6238378,181772,26,6,2011
play magnus group,norway,games industry,6461790,214673,140,10,2013
blue whale growth fund,uk,financial services,5189391,170950,7,1,2016
kazidomi,belgium,ecommerce,8042499,263663,65,3,2016
sun finance,latvia,fintech,121306296,4044537,800,90,2012
credimi,italy,financial services,11301520,381830,56,21,2015
sirplus,germany,retail,4540000,155043,133,8,2017
aihr | academy to innovate hr,the netherlands,education,3584553,125682,31,6,2016
logistics capital partners lcp,luxembourg,property,210563743,7403458,27,9,2015
sudwest invest,germany,property,5820402,210820,10,2,2017
corade plurimmo,france,property,56018731,2039961,7,7,2000
carranco,spain,food & beverage,4176440,155310,5,4,2006
telemedi,poland,health,4452513,182100,50,10,2014
inkitt,germany,technology,5926970,229713,56,22,2014
hktrading,italy,retail,5721590,225380,2,1,2016
attest,uk,technology,4864178,194090,124,16,2015
lgm immobilier,france,property,2549778,101311,11,na,2016
wolfram chain,the netherlands,management consulting,2431371,100711,29,7,2017
rightnow,germany,technology,8951132,379771,38,3,2017
eo charging,uk,technology,17158962,757323,63,7,2014
